metagene,log2foldchange_M,q-value_M
EC:1.20.4.1,0.0175206149924645,1
EC:1.20.4.3,-0.498162196057184,1
EC:1.21.4.1,0.076898442004286,1
EC:1.21.4.2,0.435601071007858,1
EC:1.21.4.4,0.3722579066835627,1
EC:1.21.98.1,-0.8689851105312276,1
EC:1.3.1.1,-0.6412398427635251,1
EC:1.3.1.10,-0.2784240451856089,1
EC:1.3.1.106,0.1329225060750905,1
EC:1.3.1.12,0.050222936163965,1
EC:1.3.1.14,0.2073367564297298,1
EC:1.3.1.20,-0.8969547952784289,1
EC:1.3.1.22,-0.7403346725757101,1
EC:1.3.1.25,-0.0676396358298639,1
EC:1.3.1.28,0.3430616590137955,1
EC:1.3.1.31,-0.3563966944464568,1
EC:1.3.1.32,0.3395960208738802,1
EC:1.3.1.34,0.1038983698350076,1
EC:1.3.1.44,-0.356456539022742,1
EC:1.3.1.54,0.1409822474454423,1
EC:1.3.1.58,-0.177700568009738,1
EC:1.3.1.76,-0.1250097354389751,1
EC:1.3.1.86,-0.6676392743590982,1
EC:1.3.1.87,-0.4590852776516589,1
EC:1.3.1.9,0.007833744977723,1
EC:1.3.1.98,0.0894465898961506,1
EC:1.3.3.11,-0.179230494762052,1
EC:1.3.3.14,-0.0874070739548585,1
EC:1.3.3.3,0.6278897225102613,1
EC:1.3.3.4,-1.0198937351688195,1
EC:1.3.3.6,-0.4806093323289229,1
EC:1.3.4.1,0.2580398125630767,1
EC:1.3.5.1,-0.5748551045642545,1
EC:1.3.5.2,-0.2293599349164731,1
EC:1.3.5.3,-0.0158088094174237,1
EC:1.3.5.4,-0.082568903267315,1
EC:1.3.7.9,-0.3903737431986288,1
EC:1.3.8.1,0.3464993809801081,1
EC:1.3.8.4,0.2677826302712685,1
EC:1.3.8.6,-0.5853802165000661,1
EC:1.3.8.7,-0.7082651154016817,1
EC:1.3.8.8,-0.1456697033739236,1
EC:1.3.98.1,-0.0571032723559044,1
EC:1.3.99.12,-0.1200430012022021,1
EC:1.3.99.16,-0.5145389433222349,1
EC:1.3.99.22,0.1220924025080062,1
EC:1.3.99.26,0.3383221305159192,1
EC:1.3.99.28,0.3235676073174295,1
EC:1.3.99.29,0.3256373272389326,1
EC:1.3.99.31,0.312635676192936,1
EC:1.3.99.33,0.2630206694466869,1
EC:1.3.99.4,-0.6784592398045874,1
EC:1.3.99.5,-0.9401225187717448,1
EC:1.3.99.8,-0.1962869654542599,1
EC:1.4.1.1,-0.3617449867970535,1
EC:1.4.1.11,0.1742441637967887,1
EC:1.4.1.13,0.0257782543620899,1
EC:1.4.1.14,0.0320017511612222,1
EC:1.4.1.16,-0.0293412861140863,1
EC:1.4.1.2,-0.7144487101452501,1
EC:1.4.1.21,-0.1010411450408228,1
EC:1.4.1.23,-0.6730164706717174,1
EC:1.4.1.3,-0.6467542211439157,1
EC:1.4.1.4,0.3038941741425537,1
EC:1.4.1.9,-1.0341286513710364,1
EC:1.4.3.16,0.2500651044631238,1
EC:1.4.3.19,-0.8832561940290338,1
EC:1.4.3.21,-0.0595361213337532,1
EC:1.4.3.3,-0.1200430012022021,1
EC:1.4.3.4,-0.3233919273020736,1
EC:1.4.3.5,-0.3562540612267069,1
EC:1.4.4.2,-0.4396368019624437,1
EC:1.4.7.1,0.1692216346617259,1
EC:1.4.99.6,0.2843759651805877,1
EC:1.5.1.2,0.0400833820137101,1
EC:1.5.1.20,-0.195042157647811,1
EC:1.5.1.24,-0.7721491678292927,1
EC:1.5.1.28,-0.2607077120131624,1
EC:1.5.1.3,0.0116708161703865,1
EC:1.5.1.34,-0.0617140873970482,1
EC:1.5.1.36,0.6693153331020874,1
EC:1.5.1.38,-0.0830792320298532,1
EC:1.5.1.39,0.7319453697358351,1
EC:1.5.1.41,0.5919687143127824,1
EC:1.5.1.5,0.042447886802555,1
EC:1.5.1.7,-0.2316290846956636,1
EC:1.5.3.1,-0.2517477142049888,1
EC:1.5.5.1,0.2278550386252055,1
EC:1.5.5.2,-0.3846643784202072,1
EC:1.5.98.2,-0.9542471903509064,1
EC:1.5.99.6,-0.8482655330726945,1
EC:1.6.1.1,0.6050075542374689,1
EC:1.6.1.2,-0.0973117332132073,1
EC:1.6.3.4,0.5761898415933157,1
EC:1.6.5.2,0.5028929766238961,1
EC:1.6.5.3,-0.1113940643936722,1
EC:1.6.5.5,-0.1599483064928093,1
EC:1.6.99.1,0.2493966232201844,1
EC:1.6.99.3,-0.1075750348194386,1
EC:1.7.1.13,-0.5457157647072759,1
EC:1.7.1.15,-0.2365733344127878,1
EC:1.7.1.7,-0.0223773242333928,1
EC:1.7.2.1,-0.5397536402590282,1
EC:1.7.2.2,-0.0894260777433519,1
EC:1.7.2.3,-0.1263839897057708,1
EC:1.7.2.4,-0.1211347300543635,1
EC:1.7.2.5,-0.1051695914226154,1
EC:1.7.3.3,-0.7406640457633495,1
EC:1.7.7.1,0.3867610126149702,1
EC:1.7.99.1,0.4963969673535495,1
EC:1.7.99.4,-0.234248806627679,1
EC:1.8.1.14,-0.0129446220324672,1
EC:1.8.1.15,-0.7251768807967163,1
EC:1.8.1.2,-0.5076879100348188,1
EC:1.8.1.4,-0.1642646135377222,1
EC:1.8.1.7,-0.0118055220855853,1
EC:1.8.1.8,-0.1448736914852262,1
EC:1.8.1.9,0.05693861836934,1
EC:1.8.2.2,-0.0308042737748188,1
EC:1.8.4.11,-0.1131913359198545,1
EC:1.8.4.12,-0.1265354354055803,1
EC:1.8.4.8,-0.3575509018671383,1
EC:1.8.5.2,-0.6620854353325769,1
EC:1.8.5.3,0.6210424833138017,1
EC:1.8.7.1,-0.8755334237765007,1
EC:1.8.98.1,-0.1447552716100567,1
EC:1.8.99.2,-0.1355854029111907,1
EC:1.9.3.1,-1.0431660918985115,1
EC:1.97.1.4,0.1309926398465832,1
EC:1.97.1.9,0.3441706259556787,1
EC:2.1.1.10,-0.5671982773317543,1
EC:2.1.1.104,-0.7819291803916777,1
EC:2.1.1.107,-0.2079782774348414,1
EC:2.1.1.113,-0.3919303093352962,1
EC:2.1.1.13,0.3275040757261723,1
EC:2.1.1.130,-0.0067917200726486,1
EC:2.1.1.131,0.4328217912525609,1
EC:2.1.1.132,-0.0103978287252006,1
EC:2.1.1.133,0.385080950507832,1
EC:2.1.1.14,-0.1610820545691787,1
EC:2.1.1.144,0.0212409733026235,1
EC:2.1.1.148,0.2699923893662229,1
EC:2.1.1.151,-0.023061866937522,1
EC:2.1.1.152,-0.1528961722934398,1
EC:2.1.1.157,-0.5102602912380205,1
EC:2.1.1.163,-0.4049708439235192,1
EC:2.1.1.166,0.637008415160736,1
EC:2.1.1.170,0.08009978999115,1
EC:2.1.1.171,0.25489071829221,1
EC:2.1.1.172,0.1877004791810231,1
EC:2.1.1.173,0.5797512716055091,1
EC:2.1.1.174,0.5919687143127824,1
EC:2.1.1.176,0.1067655910270125,1
EC:2.1.1.177,0.0721060019507655,1
EC:2.1.1.178,0.687281790638238,1
EC:2.1.1.181,0.4242046039025434,1
EC:2.1.1.182,0.0551862358826326,1
EC:2.1.1.184,-0.1105812717669807,1
EC:2.1.1.185,0.0537471791494297,1
EC:2.1.1.186,0.6789668498910939,1
EC:2.1.1.187,0.2910860085118331,1
EC:2.1.1.189,0.5253531520068366,1
EC:2.1.1.190,0.1225662564301136,1
EC:2.1.1.191,0.067902842082322,1
EC:2.1.1.192,0.0092678130517025,1
EC:2.1.1.193,0.0392247288315891,1
