	SubjectID1	SubjectID2	Group1	Group2	Distance
279	EG1041	EG2392	After abduction	After abduction	0.2796
280	EG1041	EG2391	After abduction	After abduction	0.4452
281	EG1041	EG2018	After abduction	After abduction	0.3336
282	EG1041	EG1990	After abduction	After abduction	0.5138
283	EG1041	EG1940	After abduction	After abduction	0.236
284	EG1041	EG0118	After abduction	After abduction	0.4156
285	EG1041	EG1939	After abduction	After abduction	0.338
286	EG1041	EG1892	After abduction	After abduction	0.2954
287	EG1041	EG1878	After abduction	After abduction	0.4056
288	EG1041	EG0101	After abduction	After abduction	0.383
289	EG1041	EG1772	After abduction	After abduction	0.3404
290	EG1041	EG1673	After abduction	After abduction	0.3064
291	EG1041	EG1637	After abduction	After abduction	0.4524
292	EG1041	EG1572	After abduction	After abduction	0.446
293	EG1041	EG1524	After abduction	After abduction	0.4786
294	EG1041	EG0088	After abduction	After abduction	0.3468
295	EG1041	EG1490	After abduction	After abduction	0.2344
296	EG1041	EG1431	After abduction	After abduction	0.2892
297	EG1041	EG1416	After abduction	After abduction	0.387
298	EG1041	EG1178	After abduction	After abduction	0.2026
299	EG1041	EG1153	After abduction	After abduction	0.1978
300	EG1035	EG2580	After abduction	After abduction	0.3612
301	EG1035	EG2559	After abduction	After abduction	0.4262
302	EG1035	EG2473	After abduction	After abduction	0.3416
303	EG1035	EG2392	After abduction	After abduction	0.3548
304	EG1035	EG2391	After abduction	After abduction	0.4632
305	EG1035	EG2018	After abduction	After abduction	0.417
306	EG1035	EG1990	After abduction	After abduction	0.5142
307	EG1035	EG1940	After abduction	After abduction	0.3396
308	EG1035	EG0118	After abduction	After abduction	0.4718
309	EG1035	EG1939	After abduction	After abduction	0.4182
310	EG1035	EG1892	After abduction	After abduction	0.3208
311	EG1035	EG1878	After abduction	After abduction	0.4562
312	EG1035	EG0101	After abduction	After abduction	0.4478
313	EG1035	EG1772	After abduction	After abduction	0.4436
314	EG1035	EG1673	After abduction	After abduction	0.4102
315	EG1035	EG1637	After abduction	After abduction	0.5188
316	EG1035	EG1572	After abduction	After abduction	0.487
317	EG1035	EG1524	After abduction	After abduction	0.4892
318	EG1035	EG0088	After abduction	After abduction	0.4316
319	EG1035	EG1490	After abduction	After abduction	0.3384
320	EG1035	EG1431	After abduction	After abduction	0.4036
321	EG1035	EG1416	After abduction	After abduction	0.4378
322	EG1035	EG1178	After abduction	After abduction	0.3244
323	EG1035	EG1153	After abduction	After abduction	0.3278
324	EG1035	EG1041	After abduction	After abduction	0.306
325	EG0927	EG2580	After abduction	After abduction	0.2506
326	EG0927	EG2559	After abduction	After abduction	0.278
327	EG0927	EG2473	After abduction	After abduction	0.3018
328	EG0927	EG2392	After abduction	After abduction	0.2486
329	EG0927	EG2391	After abduction	After abduction	0.5596
330	EG0927	EG2018	After abduction	After abduction	0.2694
331	EG0927	EG1990	After abduction	After abduction	0.6196
332	EG0927	EG1940	After abduction	After abduction	0.285
333	EG0927	EG0118	After abduction	After abduction	0.4608
334	EG0927	EG1939	After abduction	After abduction	0.4554
335	EG0927	EG1892	After abduction	After abduction	0.289
336	EG0927	EG1878	After abduction	After abduction	0.2818
337	EG0927	EG0101	After abduction	After abduction	0.3042
338	EG0927	EG1772	After abduction	After abduction	0.223
339	EG0927	EG1673	After abduction	After abduction	0.3896
340	EG0927	EG1637	After abduction	After abduction	0.3142
341	EG0927	EG1572	After abduction	After abduction	0.2862
342	EG0927	EG1524	After abduction	After abduction	0.5814
343	EG0927	EG0088	After abduction	After abduction	0.3984
344	EG0927	EG1490	After abduction	After abduction	0.3816
345	EG0927	EG1431	After abduction	After abduction	0.197
346	EG0927	EG1416	After abduction	After abduction	0.3672
347	EG0927	EG1178	After abduction	After abduction	0.2818
348	EG0927	EG1153	After abduction	After abduction	0.29
349	EG0927	EG1041	After abduction	After abduction	0.3544
350	EG0927	EG1035	After abduction	After abduction	0.4412
351	EG0892	EG2580	After abduction	After abduction	0.2126
352	EG0892	EG2559	After abduction	After abduction	0.2904
353	EG0892	EG2473	After abduction	After abduction	0.228
354	EG0892	EG2392	After abduction	After abduction	0.235
355	EG0892	EG2391	After abduction	After abduction	0.3602
356	EG0892	EG2018	After abduction	After abduction	0.292
357	EG0892	EG1990	After abduction	After abduction	0.443
358	EG0892	EG1940	After abduction	After abduction	0.2494
359	EG0892	EG0118	After abduction	After abduction	0.3832
360	EG0892	EG1939	After abduction	After abduction	0.2724
361	EG0892	EG1892	After abduction	After abduction	0.2694
362	EG0892	EG1878	After abduction	After abduction	0.3208
363	EG0892	EG0101	After abduction	After abduction	0.283
364	EG0892	EG1772	After abduction	After abduction	0.3014
365	EG0892	EG1673	After abduction	After abduction	0.22
366	EG0892	EG1637	After abduction	After abduction	0.377
367	EG0892	EG1572	After abduction	After abduction	0.375
368	EG0892	EG1524	After abduction	After abduction	0.3998
369	EG0892	EG0088	After abduction	After abduction	0.3132
370	EG0892	EG1490	After abduction	After abduction	0.2884
371	EG0892	EG1431	After abduction	After abduction	0.3058
372	EG0892	EG1416	After abduction	After abduction	0.3344
373	EG0892	EG1178	After abduction	After abduction	0.2624
374	EG0892	EG1153	After abduction	After abduction	0.2484
375	EG0892	EG1041	After abduction	After abduction	0.2708
376	EG0892	EG1035	After abduction	After abduction	0.388
377	EG0892	EG0927	After abduction	After abduction	0.313
378	EG0850	EG2580	After abduction	After abduction	0.3346
379	EG0850	EG2559	After abduction	After abduction	0.3516
380	EG0850	EG2473	After abduction	After abduction	0.3662
381	EG0850	EG2392	After abduction	After abduction	0.2974
382	EG0850	EG2391	After abduction	After abduction	0.4588
383	EG0850	EG2018	After abduction	After abduction	0.3762
384	EG0850	EG1990	After abduction	After abduction	0.5284
385	EG0850	EG1940	After abduction	After abduction	0.4058
386	EG0850	EG0118	After abduction	After abduction	0.1222
387	EG0850	EG1939	After abduction	After abduction	0.363
388	EG0850	EG1892	After abduction	After abduction	0.3652
389	EG0850	EG1878	After abduction	After abduction	0.4442
390	EG0850	EG0101	After abduction	After abduction	0.4048
391	EG0850	EG1772	After abduction	After abduction	0.4288
392	EG0850	EG1673	After abduction	After abduction	0.2796
393	EG0850	EG1637	After abduction	After abduction	0.4584
394	EG0850	EG1572	After abduction	After abduction	0.4614
395	EG0850	EG1524	After abduction	After abduction	0.4946
396	EG0850	EG0088	After abduction	After abduction	0.1654
397	EG0850	EG1490	After abduction	After abduction	0.4528
398	EG0850	EG1431	After abduction	After abduction	0.411
399	EG0850	EG1416	After abduction	After abduction	0.1828
400	EG0850	EG1178	After abduction	After abduction	0.4024
401	EG0850	EG1153	After abduction	After abduction	0.4028
402	EG0850	EG1041	After abduction	After abduction	0.3932
403	EG0850	EG1035	After abduction	After abduction	0.4444
404	EG0850	EG0927	After abduction	After abduction	0.3958
405	EG0850	EG0892	After abduction	After abduction	0.3342
406	EG0057	EG2580	After abduction	After abduction	0.332
407	EG0057	EG2559	After abduction	After abduction	0.3778
408	EG0057	EG2473	After abduction	After abduction	0.3356
409	EG0057	EG2392	After abduction	After abduction	0.3224
410	EG0057	EG2391	After abduction	After abduction	0.307
411	EG0057	EG2018	After abduction	After abduction	0.4024
412	EG0057	EG1990	After abduction	After abduction	0.3826
413	EG0057	EG1940	After abduction	After abduction	0.4032
414	EG0057	EG0118	After abduction	After abduction	0.3058
415	EG0057	EG1939	After abduction	After abduction	0.31
416	EG0057	EG1892	After abduction	After abduction	0.375
417	EG0057	EG1878	After abduction	After abduction	0.4146
418	EG0057	EG0101	After abduction	After abduction	0.3738
419	EG0057	EG1772	After abduction	After abduction	0.444
420	EG0057	EG1673	After abduction	After abduction	0.268
421	EG0057	EG1637	After abduction	After abduction	0.4646
422	EG0057	EG1572	After abduction	After abduction	0.4792
423	EG0057	EG1524	After abduction	After abduction	0.3484
424	EG0057	EG0088	After abduction	After abduction	0.248
425	EG0057	EG1490	After abduction	After abduction	0.399
426	EG0057	EG1431	After abduction	After abduction	0.4526
427	EG0057	EG1416	After abduction	After abduction	0.3084
428	EG0057	EG1178	After abduction	After abduction	0.3882
429	EG0057	EG1153	After abduction	After abduction	0.3834
430	EG0057	EG1041	After abduction	After abduction	0.3746
431	EG0057	EG1035	After abduction	After abduction	0.3876
